variant,post,pre,component,receptor,e_rev_mV,tau_rise_ms,tau_decay_ms,compartment,mechanism,section_list,distance_1,distance_2,port_name
137,Bistratified,CA3,A,AMPA_fast,0.0,2.0,6.3,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,AMPA_fast__e0__tr2__td6p3__dend
137,Bistratified,ECIII,A,AMPA_slow,0.0,2.0,6.3,dend,MyExp2Sid,dendrite_list,distance(x)>200,distance(x)<1000,AMPA_slow__e0__tr2__td6p3__dend
137,Bistratified,Bistratified,A,GABA_A_slow,-60.0,0.287,2.67,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,GABA_A_slow__em60__tr0p287__td2p67__dend
137,Bistratified,CCK_Basket,A,GABA_A_slow,-60.0,0.432,4.49,dend,MyExp2Sid,dendrite_list,distance(x)>-1,distance(x)<50,GABA_A_slow__em60__tr0p432__td4p49__dend
137,Bistratified,CCK_Basket,A,GABA_A_slow,-60.0,0.432,4.49,soma,MyExp2Sid,soma_list,distance(x)>-1,distance(x)<1000,GABA_A_slow__em60__tr0p432__td4p49__soma
137,Bistratified,Ivy,A,GABA_A_slow,-60.0,2.9,3.1,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,GABA_A_slow__em60__tr2p9__td3p1__dend
137,Bistratified,Neurogliaform,A,GABA_A_slow,-60.0,8.0,39.0,dend,ExpGABAab,apical_list,distance(x)>200,distance(x)<1000,GABA_A_slow__em60__tr8__td39__dend
137,Bistratified,Neurogliaform,B,GABA_B,-90.0,180.0,200.0,dend,ExpGABAab,apical_list,distance(x)>200,distance(x)<1000,GABA_B__em90__tr180__td200__dend
137,Bistratified,O_LM,A,GABA_A_slow,-60.0,0.6,15.0,dend,MyExp2Sid,apical_list,distance(x)>200,distance(x)<1000,GABA_A_slow__em60__tr0p6__td15__dend
137,Bistratified,Pyramidal,A,AMPA_fast,0.0,0.11,0.25,dend,MyExp2Sid,apical_list,distance(x)>100,distance(x)<1000,AMPA_fast__e0__tr0p11__td0p25__dend
137,Bistratified,PV_Basket,A,GABA_A_fast,-60.0,0.18,0.45,soma,MyExp2Sid,soma_list,distance(x)>-1,distance(x)<1000,GABA_A_fast__em60__tr0p18__td0p45__soma
137,Bistratified,SCA,A,GABA_A_slow,-60.0,0.419,4.99,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,GABA_A_slow__em60__tr0p419__td4p99__dend
137,CCK_Basket,CA3,A,AMPA_fast,0.0,2.0,6.3,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,AMPA_fast__e0__tr2__td6p3__dend
137,CCK_Basket,ECIII,A,AMPA_slow,0.0,2.0,6.3,dend,MyExp2Sid,dendrite_list,distance(x)>200,distance(x)<1000,AMPA_slow__e0__tr2__td6p3__dend
137,CCK_Basket,Bistratified,A,GABA_A_slow,-60.0,0.287,2.67,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,GABA_A_slow__em60__tr0p287__td2p67__dend
