variant,post,pre,component,receptor,e_rev_mV,tau_rise_ms,tau_decay_ms,compartment,mechanism,section_list,distance_1,distance_2,port_name
120,Pyramidal,Pyramidal,A,AMPA_fast,0.0,0.1,1.5,dend,MyExp2Sid,apical_list,distance(x)>100,distance(x)<1000,AMPA_fast__e0__tr0p1__td1p5__dend
120,Pyramidal,PV_Basket,A,GABA_A_fast,-60.0,0.3,6.2,soma,MyExp2Sid,soma_list,distance(x)>-1,distance(x)<1000,GABA_A_fast__em60__tr0p3__td6p2__soma
120,Pyramidal,SCA,A,GABA_A_slow,-60.0,0.15,3.9,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,GABA_A_slow__em60__tr0p15__td3p9__dend
120,PV_Basket,CA3,A,AMPA_fast,0.0,2.0,6.3,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,AMPA_fast__e0__tr2__td6p3__dend
120,PV_Basket,ECIII,A,AMPA_slow,0.0,2.0,6.3,dend,MyExp2Sid,dendrite_list,distance(x)>200,distance(x)<1000,AMPA_slow__e0__tr2__td6p3__dend
120,PV_Basket,Bistratified,A,GABA_A_slow,-60.0,0.287,2.67,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,GABA_A_slow__em60__tr0p287__td2p67__dend
120,PV_Basket,CCK_Basket,A,GABA_A_slow,-60.0,0.432,4.49,dend,MyExp2Sid,dendrite_list,distance(x)>-1,distance(x)<50,GABA_A_slow__em60__tr0p432__td4p49__dend
120,PV_Basket,CCK_Basket,A,GABA_A_slow,-60.0,0.432,4.49,soma,MyExp2Sid,soma_list,distance(x)>-1,distance(x)<1000,GABA_A_slow__em60__tr0p432__td4p49__soma
120,PV_Basket,Ivy,A,GABA_A_slow,-60.0,2.9,3.1,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,GABA_A_slow__em60__tr2p9__td3p1__dend
120,PV_Basket,Neurogliaform,A,GABA_A_slow,-60.0,8.0,39.0,dend,ExpGABAab,apical_list,distance(x)>200,distance(x)<1000,GABA_A_slow__em60__tr8__td39__dend
120,PV_Basket,Neurogliaform,B,GABA_B,-90.0,180.0,200.0,dend,ExpGABAab,apical_list,distance(x)>200,distance(x)<1000,GABA_B__em90__tr180__td200__dend
120,PV_Basket,O_LM,A,GABA_A_slow,-60.0,0.25,7.5,dend,MyExp2Sid,apical_list,distance(x)>200,distance(x)<1000,GABA_A_slow__em60__tr0p25__td7p5__dend
120,PV_Basket,Pyramidal,A,AMPA_fast,0.0,0.07,0.2,dend,MyExp2Sid,apical_list,distance(x)>100,distance(x)<1000,AMPA_fast__e0__tr0p07__td0p2__dend
120,PV_Basket,PV_Basket,A,GABA_A_fast,-60.0,0.08,4.8,soma,MyExp2Sid,soma_list,distance(x)>-1,distance(x)<1000,GABA_A_fast__em60__tr0p08__td4p8__soma
120,PV_Basket,SCA,A,GABA_A_slow,-60.0,0.419,4.99,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,GABA_A_slow__em60__tr0p419__td4p99__dend
120,SCA,CA3,A,AMPA_fast,0.0,2.0,6.3,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,AMPA_fast__e0__tr2__td6p3__dend
120,SCA,ECIII,A,AMPA_slow,0.0,2.0,6.3,dend,MyExp2Sid,dendrite_list,distance(x)>200,distance(x)<1000,AMPA_slow__e0__tr2__td6p3__dend
